,duration,end_time,min_signal,peak_signal,peak_time,start_time,threshold,station_code,network_code
0,18.2,2011-12-14T12:02:25.500000Z,0.18845605984502695,0.6281868661500898,2011-12-14T12:02:20.300000Z,2011-12-14T12:02:07.300000Z,0.5,J28A,7D
1,24.44,2011-12-14T12:03:11.520000Z,0.23226521215080348,0.5262521280864183,2011-12-14T12:02:53.840000Z,2011-12-14T12:02:47.080000Z,0.5,J28A,7D
2,29.64,2011-12-14T12:04:55.260000Z,0.2917611536197639,0.5364575427405331,2011-12-14T12:04:47.460000Z,2011-12-14T12:04:25.620000Z,0.5,J28A,7D
3,12.22,2011-12-14T12:05:50.900000Z,0.29580242275807644,0.5155211699479634,2011-12-14T12:05:42.840000Z,2011-12-14T12:05:38.680000Z,0.5,J28A,7D
4,24.96,2011-12-14T12:07:02.660000Z,0.1856696994193528,0.6188989980645093,2011-12-14T12:06:58.760000Z,2011-12-14T12:06:37.700000Z,0.5,J28A,7D
5,20.28,2011-12-14T12:09:16.300000Z,0.22104708242675297,0.7368236080891766,2011-12-14T12:09:02.520000Z,2011-12-14T12:08:56.020000Z,0.5,J28A,7D
6,17.16,2011-12-14T12:10:12.200000Z,0.2088950454916314,0.6963168183054379,2011-12-14T12:10:04.400000Z,2011-12-14T12:09:55.040000Z,0.5,J28A,7D
7,13.26,2011-12-14T12:11:14.860000Z,0.18305593088351862,0.6101864362783953,2011-12-14T12:11:08.880000Z,2011-12-14T12:11:01.600000Z,0.5,J28A,7D
8,13.78,2011-12-14T12:13:30.320000Z,0.26526284770966635,0.8842094923655545,2011-12-14T12:13:24.600000Z,2011-12-14T12:13:16.540000Z,0.5,J28A,7D
9,11.44,2011-12-14T12:14:00.480000Z,0.1845773238545484,0.6152577461818278,2011-12-14T12:13:53.200000Z,2011-12-14T12:13:49.040000Z,0.5,J28A,7D
10,28.34,2011-12-14T12:14:36.880000Z,0.27034693663945075,0.7613718666334892,2011-12-14T12:14:13.480000Z,2011-12-14T12:14:08.540000Z,0.5,J28A,7D
11,14.82,2011-12-14T12:16:59.620000Z,0.2401212800241782,0.7170818163909434,2011-12-14T12:16:53.380000Z,2011-12-14T12:16:44.800000Z,0.5,J28A,7D
12,21.84,2011-12-14T12:18:41.540000Z,0.22186532703005252,0.7001471208973187,2011-12-14T12:18:32.440000Z,2011-12-14T12:18:19.700000Z,0.5,J28A,7D
13,29.38,2011-12-14T12:19:25.480000Z,0.22636519245048403,0.7151466722987572,2011-12-14T12:19:10.400000Z,2011-12-14T12:18:56.100000Z,0.5,J28A,7D
14,15.34,2011-12-14T12:22:46.980000Z,0.17685163890850075,0.5895054630283357,2011-12-14T12:22:42.560000Z,2011-12-14T12:22:31.640000Z,0.5,J28A,7D
15,16.64,2011-12-14T12:23:41.060000Z,0.1730703484169226,0.5769011613897419,2011-12-14T12:23:28.840000Z,2011-12-14T12:23:24.420000Z,0.5,J28A,7D
16,22.62,2011-12-14T12:25:46.380000Z,0.18517105728211652,0.617236857607055,2011-12-14T12:25:42.480000Z,2011-12-14T12:25:23.760000Z,0.5,J28A,7D
17,15.6,2011-12-14T12:27:53.520000Z,0.2309952395335405,0.7699841317784683,2011-12-14T12:27:46.500000Z,2011-12-14T12:27:37.920000Z,0.5,J28A,7D
18,10.14,2011-12-14T12:29:53.120000Z,0.2292032250353525,0.7640107501178417,2011-12-14T12:29:52.600000Z,2011-12-14T12:29:42.980000Z,0.5,J28A,7D
0,18.72,2011-12-14T12:01:17.120000Z,0.17033948309393793,0.567798276979793,2011-12-14T12:01:10.880000Z,2011-12-14T12:00:58.400000Z,0.5,J29A,7D
1,16.38,2011-12-14T12:02:09.380000Z,0.2603847247093365,0.8679490823644547,2011-12-14T12:02:00.800000Z,2011-12-14T12:01:53.000000Z,0.5,J29A,7D
2,25.74,2011-12-14T12:03:50.260000Z,0.2394623849416938,0.798207949805646,2011-12-14T12:03:33.360000Z,2011-12-14T12:03:24.520000Z,0.5,J29A,7D
3,14.82,2011-12-14T12:04:31.860000Z,0.2905279092751696,0.9263570406903452,2011-12-14T12:04:22.500000Z,2011-12-14T12:04:17.040000Z,0.5,J29A,7D
4,27.56,2011-12-14T12:05:59.480000Z,0.2969362147658512,0.5422287027229196,2011-12-14T12:05:39.980000Z,2011-12-14T12:05:31.920000Z,0.5,J29A,7D
5,11.96,2011-12-14T12:06:44.720000Z,0.2338697440131029,0.7795658133770095,2011-12-14T12:06:37.440000Z,2011-12-14T12:06:32.760000Z,0.5,J29A,7D
6,20.8,2011-12-14T12:07:55.180000Z,0.19764460993772998,0.6588153664590999,2011-12-14T12:07:44.780000Z,2011-12-14T12:07:34.380000Z,0.5,J29A,7D
7,14.56,2011-12-14T12:08:54.460000Z,0.26882232813050244,0.8960744271016748,2011-12-14T12:08:48.220000Z,2011-12-14T12:08:39.900000Z,0.5,J29A,7D
8,19.5,2011-12-14T12:10:07.260000Z,0.2471819154279361,0.8239397180931202,2011-12-14T12:09:54.000000Z,2011-12-14T12:09:47.760000Z,0.5,J29A,7D
9,14.3,2011-12-14T12:11:02.380000Z,0.2567773977347322,0.8559246591157736,2011-12-14T12:10:54.320000Z,2011-12-14T12:10:48.080000Z,0.5,J29A,7D
10,13.78,2011-12-14T12:13:12.120000Z,0.28466916902578543,0.9488972300859514,2011-12-14T12:13:04.060000Z,2011-12-14T12:12:58.340000Z,0.5,J29A,7D
11,19.76,2011-12-14T12:14:24.400000Z,0.2254244649584365,0.7514148831947882,2011-12-14T12:14:12.700000Z,2011-12-14T12:14:04.640000Z,0.5,J29A,7D
12,16.9,2011-12-14T12:15:18.740000Z,0.25790430541232745,0.8596810180410914,2011-12-14T12:15:09.380000Z,2011-12-14T12:15:01.840000Z,0.5,J29A,7D
13,14.3,2011-12-14T12:19:03.380000Z,0.20615844789120175,0.6871948263040056,2011-12-14T12:18:54.540000Z,2011-12-14T12:18:49.080000Z,0.5,J29A,7D
14,13.0,2011-12-14T12:21:08.440000Z,0.20392114619308976,0.6797371539769658,2011-12-14T12:21:05.320000Z,2011-12-14T12:20:55.440000Z,0.5,J29A,7D
15,15.08,2011-12-14T12:23:20.520000Z,0.20838510401416305,0.6946170133805434,2011-12-14T12:23:15.320000Z,2011-12-14T12:23:05.440000Z,0.5,J29A,7D
16,13.78,2011-12-14T12:25:25.320000Z,0.2507292665402523,0.8357642218008408,2011-12-14T12:25:17.000000Z,2011-12-14T12:25:11.540000Z,0.5,J29A,7D
17,8.84,2011-12-14T12:27:29.600000Z,0.1789950720467251,0.5966502401557503,2011-12-14T12:27:24.660000Z,2011-12-14T12:27:20.760000Z,0.5,J29A,7D
18,16.12,2011-12-14T12:29:41.940000Z,0.23220400596970003,0.7740133532323334,2011-12-14T12:29:32.840000Z,2011-12-14T12:29:25.820000Z,0.5,J29A,7D
